Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
727;1;Rombergsgatan 30: Kärltvätt Standard ;9;150;K100;;ADO
728;1;Rombergsgatan 34: Miljörum Medium ;1;648;K100;;ADO
729;1;Rombergsgatan 34: Kärltvätt Standard ;14;150;K100;;ADO
730;1;Rombergsgatan 40: Miljörum Large ;1;648;K100;;ADO
731;1;Rombergsgatan 40: Kärltvätt Standard ;13;150;K100;;ADO
732;1;Rombergsgatan 42-50: Miljörum Large ;1;648;K100;;ADO
733;1;Rombergsgatan 42-50: Kärltvätt Standard ;12;150;K100;;ADO
734;1;Rombergsgatan 29-37: Miljörum Medium ;1;648;K100;;ADO
735;1;Rombergsgatan 29-37: Kärltvätt Standard ;13;150;K100;;ADO
736;1;Rombergsgatan 41-49: Miljörum Large ;1;648;K100;;ADO
737;1;Rombergsgatan 41-49: Kärltvätt Standard ;14;150;K100;;ADO
738;1;Rombergsgatan 44-52: Miljörum Large ;1;648;K100;;ADO
739;1;Rombergsgatan 44-52: Kärltvätt Standard ;14;150;K100;;ADO
740;1;Rombergsgatan 51-59: Miljörum Large ;1;648;K100;;ADO
741;1;Rombergsgatan 51-59: Kärltvätt Standard ;13;150;K100;;ADO
742;1;Rombergsgatan 61: Miljörum Large ;1;648;K100;;ADO
743;1;Rombergsgatan 61: Kärltvätt Standard ;15;150;K100;;ADO
744;1;Sämskarbogatan 55-59: Miljörum Large ;1;648;K100;;ADO
745;1;Sämskarbogatan 55-59: Kärltvätt Standard ;12;150;K100;;ADO
746;1;Sämskarbogatan 49-53: Miljörum Large ;1;648;K100;;ADO
747;1;Sämskarbogatan 49-53: Kärltvätt Standard ;13;150;K100;;ADO
748;1;Sämskarbogatan 41-47: Miljörum Large ;1;648;K100;;ADO
749;1;Sämskarbogatan 41-47: Kärltvätt Standard ;13;150;K100;;ADO
750;1;Sämskarbogatan 35-39: Miljörum Large ;1;648;K100;;ADO
751;1;Sämskarbogatan 35-39: Kärltvätt Standard ;13;150;K100;;ADO
752;1;Bergsgatan 24: Miljörum Medium ;1;648;K100;;ADO
753;1;Bergsgatan 24: Kärltvätt Standard ;4;150;K100;;ADO
754;1;Bergsgatan 28: Miljörum Medium ;1;648;K100;;ADO
755;1;Bergsgatan 28: Kärltvätt Standard ;6;150;K100;;ADO
756;1;Bergsgatan 30: Miljörum Medium ;1;648;K100;;ADO
