Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
6521;1;Verkstadsgatan 5: Miljörum Medium  (2024-05-08 14:12);1;990;K100;N;ADO
6522;1;Verkstadsgatan 5: Kärltvätt Standard  (2024-05-08 14:11);8;210;K100;N;ADO
6523;1;Nytorgsgatan 15: Etableringskostnad  (2024-05-13 09:55);1;649;;N;ADO
6523;2;Nytorgsgatan 15: Kärltvätt Standard  (2024-05-13 09:55);8;210;K100;N;ADO
6524;1;Bastuvägen 4: Miljörum Medium ;1;990;K100;N;BHO891
6525;1;Bastuvägen 4: Kärltvätt Standard  (2024-07-01 11:50);5;210;K100;N;BHO891
6526;1;Bonäsvägen 11: Miljörum Medium ;1;990;K100;N;BHO891
6527;1;Bonäsvägen 11: Etableringskostnad  (2024-07-02 14:03);1;649;;N;BHO891
6527;2;Bonäsvägen 11: Kärltvätt Standard  (2024-07-02 14:03);3;210;K100;N;BHO891
6528;1;Frejgatan 24: Miljörum Small  (2024-06-04 18:31);1;790;K100;N;ADO
6529;1;Frejgatan 24: Kärltvätt Standard  (2024-06-04 18:31);4;210;K100;N;ADO
6530;1;Frisörvägen 15: Miljörum Medium ;1;990;K100;N;BHO891
6531;1;Frisörvägen 15: Etableringskostnad  (2024-07-01 16:58);1;649;;N;BHO891
6531;2;Frisörvägen 15: Kärltvätt Standard  (2024-07-01 16:58);3;210;K100;N;BHO891
6532;1;Frisörvägen 30: Miljörum Medium ;1;990;K100;N;BHO891
6533;1;Frisörvägen 30: Kärltvätt Standard  (2024-07-01 16:59);2;210;K100;N;BHO891
6534;1;Hovslagarvägen 14: Miljörum Medium ;1;990;K100;N;BHO891
6535;1;Hovslagarvägen 14: Etableringskostnad  (2024-07-01 13:07);1;649;;N;BHO891
6535;2;Hovslagarvägen 14: Kärltvätt Standard  (2024-07-01 13:07);3;210;K100;N;BHO891
6536;1;Hovslagarvägen 16: Miljörum Medium ;1;990;K100;N;BHO891
6537;1;Hovslagarvägen 16: Kärltvätt Standard  (2024-07-01 13:22);3;210;K100;N;BHO891
6538;1;Järvedsvägen 26: Miljörum Medium ;1;990;K100;N;BHO891
6539;1;Järvedsvägen 26: Etableringskostnad  (2024-07-01 11:22);1;649;;N;BHO891
6539;2;Järvedsvägen 26: Kärltvätt Standard  (2024-07-01 11:22);6;210;K100;N;BHO891
6540;1;Järvedsvägen 28: Miljörum Medium ;1;990;K100;N;BHO891
6541;1;Järvedsvägen 28: Kärltvätt Standard  (2024-07-01 11:32);3;210;K100;N;BHO891
6542;1;Bergsgatan 14: Miljörum Small  (2024-06-05 08:16);2;790;K100;N;ADO
6543;1;Bergsgatan 14: Kärltvätt Standard  (2024-06-05 08:16);2;210;K100;N;ADO
6544;1;Fabriksgatan 24: Miljörum Medium  (2024-05-08 16:48);1;990;K100;N;ADO
6545;1;Fabriksgatan 24: Kärltvätt Standard  (2024-05-08 16:47);3;210;K100;N;ADO
6546;1;Östtunagatan 5 -9: Kärltvätt Standard  (2024-05-13 13:46);13;156,56;K100;M;BHO891
6547;1;Berggatan 13: Kärltvätt Standard  (2024-05-20 12:45);18;156,56;K100;M;BHO891
6548;1;Dingtuna Kyrkby 1: Miljörum Medium ;1;900;K100;M;BHO891
6549;1;Dingtuna Kyrkby 1: Kärltvätt Standard  (2024-05-13 14:15);2;156,56;K100;M;BHO891
6550;1;Önstavägen 3: Kärltvätt Standard  (2024-05-14 09:48);3;156,56;K100;M;BHO891
6551;1;Prästkragegatan 3 -5: Miljörum Small ;1;815;K100;M;BHO891
6552;1;Prästkragegatan 3 -5: Kärltvätt Standard ;17;156,56;K100;M;BHO891
6553;1;Aspvretsgatan 8: Miljörum Small ;1;815;K100;M;BHO891
6554;1;Aspvretsgatan 8: Kärltvätt Standard  (2024-05-14 09:26);11;156,56;K100;M;BHO891
6555;1;Balettvägen 109: Miljörum (m²)  (2024-05-14 10:21);16;56;K100;M;YCJ
6556;1;Balettvägen 32: Miljörum Small  (2024-05-14 12:01);1;921,4;K100;M;YCJ
